seconds,c,t
10,7.126537875737995,2.6808960479684174
15,7.084917936008424,9.832136610057205
20,2.922339451033622,0.16386666567996144
25,2.798390109091997,3.562256779987365
30,6.5923682623542845,9.331068724859506
35,0.7295825285837054,5.861525440122932
40,3.2482813601382077,5.548510865774006
45,8.56142439879477,3.5930641647428274
50,3.9121845550835133,5.220110863447189
55,8.248588838614523,0.8743069227784872
60,3.663079997058958,4.579594975803047
65,8.811767224688083,5.228277517016977
70,8.159033006522804,8.696922229137272
75,7.341103977523744,0.6843043793924153
80,8.219709508121014,9.657231920864433
85,0.40542800445109606,2.488227100111544
90,0.5211441428400576,5.89483886025846
95,2.943669753149152,4.24286873312667
100,9.555655790027231,7.039151210337877
105,6.375439083203673,0.8897912944667041
110,3.7660270906053483,1.6165644791908562
115,6.821611672639847,3.7887841602787375
120,3.1713723903521895,8.393801029305905
125,9.414552813395858,6.10954208066687
130,6.271977343130857,5.3478724509477615
135,1.6184679022990167,0.27084029745310545
140,1.0025197663344443,5.193487016949803
145,8.746331871952862,5.149813303723931
150,1.2938722083345056,8.49972237367183
155,8.20287725655362,9.179710175376385
160,2.022247831337154,3.644609758630395
165,2.005046980921179,1.240800293162465
170,0.23099208949133754,2.8460253728553653
175,1.9424577080644667,3.0455782799981534
180,0.9302794490940869,1.9073383044451475
185,7.000583801418543,0.9791192668490112
190,3.366483310237527,6.3539281883277
195,1.9659101706929505,4.9381568864919245
200,3.5700270836241543,7.490128658246249
205,7.156713795848191,6.951362485997379
210,3.798702221829444,2.032383482437581
215,3.740732902660966,5.238425063434988
220,8.340557136107236,9.828570475801826
225,9.991100353654474,0.3855338576249778
230,2.178071716334671,0.15921471407637
235,0.05877062678337097,9.240410793572664
240,1.9921857211738825,8.93166584894061
245,6.928011295385659,3.359527674037963
250,4.1884011519141495,7.506091413088143
255,3.4475489147007465,9.015496661886573
260,7.715136739425361,3.8641403429210186
265,2.4899574206210673,4.486617958173156
270,3.0327295907773077,0.5328357056714594
275,5.132812240626663,3.6554441298358142
280,8.193110711872578,1.7727764416486025
285,5.227137170732021,4.213330871425569
290,6.458837930113077,2.245483531150967
295,7.842638397123665,1.9711323431693017
300,1.6381965717300773,6.992540406063199
305,5.093558123335242,8.384687919169664
310,4.87382641993463,7.097729365341365
315,1.5327833709307015,7.351585554424673
320,8.543329988606274,6.701187354046851
325,2.2784094442613423,9.408592996187508
330,7.131934908684343,9.040165680926293
335,4.416625348385423,2.0525147253647447
340,7.0638926536776125,9.99917447566986
345,5.436318428255618,8.31648027524352
350,5.19984379876405,3.5560207907110453
355,4.4554317416623235,2.089519463479519
360,2.855211733840406,7.523347232490778
365,6.712936540134251,3.8370857597328722
370,2.507891901768744,6.364848737139255
375,7.062049964442849,8.171683866530657
380,4.796517265494913,2.2012031241320074
385,6.7978970147669315,4.7687119990587234
390,1.112158838659525,1.763651673682034
395,8.209470715373755,5.626421414781362
400,5.76900620944798,4.641438720282167
405,6.361970431171358,5.376959040295333
410,7.114595728926361,7.049965250771493
415,1.0363459191285074,5.064918529242277
420,9.527924661524594,9.305285701993853
425,6.591235175728798,1.6530680702999234
430,5.126148976851255,2.912637961562723
435,5.546048656105995,4.4506101426668465
440,4.599853279069066,4.932614101562649
445,5.252880335319787,0.028620318043977022
450,5.91215678723529,3.689233020413667
455,6.413782669696957,0.509327813051641
460,2.384385811164975,9.761110611725599
465,2.3397843749262393,8.967809856403619
470,9.048519821371883,6.2353565357625484
475,5.878011523745954,1.8882304686121643
480,4.466937300749123,7.967552919872105
485,5.782115806359798,1.8853279761970043
490,2.1685561956837773,7.2488021035678685
495,4.436567053198814,1.9615838560275733
500,7.3781184758991,7.363114396575838
505,6.488476532977074,6.837017599027604
510,2.996357756201178,3.6522334069013596
515,9.831023337319493,2.71985370432958
520,9.37458232510835,3.744687079451978
525,8.788536654319614,6.822386260610074
530,9.517747901845723,5.461158480029553
535,6.623007084708661,2.836753341834992
540,5.880416149739176,2.220474367495626
545,6.493305678013712,3.459330592304468
550,3.3271850156597793,9.988311289343983
555,9.076043062377721,1.7249903548508883
560,1.605963020119816,3.6789992498233914
565,0.9014883730560541,2.1122787636704743
570,4.551320560276508,9.420491254422814
575,2.3475906206294894,9.183317224960774
580,3.688201706390828,8.055648144800216
585,2.986972420476377,6.16668889997527
590,6.1886177328415215,0.479272878728807
595,0.3440660936757922,1.2458695960231125
600,0.5621425644494593,5.615024759899825
605,7.328106372151524,5.987792576197535
610,0.2726077218540013,5.2186059462837875
615,9.735622727312148,3.675932481419295
620,8.114924132823944,0.4336314555257559
625,8.277166991028935,6.7754985904321074
630,2.019928789231926,8.964558765292168
635,1.1861188244074583,7.230438087135553
640,4.027190629858524,0.5951952119357884
645,0.6306670815683901,0.7066526357084513
650,0.7940359134227037,4.478250425308943
655,1.2523584626615047,9.999511355999857
660,9.33983922470361,8.483041527215391
665,0.5400519212707877,8.68797050556168
670,2.9266152810305357,6.881552557460964
675,2.603814958129078,7.681819743011147
680,2.3474918608553708,5.953752966597676
685,5.393778416328132,9.629840061534196
690,7.170451383572072,5.144443477038294
695,4.569750346709043,3.1451158924028277
700,5.409143369179219,6.724344620015472
705,9.592431087512523,0.7512827985920012
710,6.598179873544723,3.1018791045062244
715,7.388919226359576,3.0090583488345146
720,4.9014763394370675,3.5787702118977904
725,4.2961946479044855,9.885060959495604
730,6.807427711319178,0.2057981165125966
735,0.43619698844850063,2.871019986923784
740,3.189094802364707,0.026927120052278042
745,5.081590183544904,9.126597167924047
750,3.7600259645842016,3.8362308288924396
755,7.93974817963317,2.1464411728084087
760,9.996230779215693,1.8114564288407564
765,1.7665569437667727,0.6739025842398405
770,9.607110747601837,5.949114577379078
775,4.856162143405527,7.293189556803554
780,5.763408662751317,6.058271988295019
785,0.8778387564234436,9.088423526845872
790,2.062390437349677,7.174508711323142
795,4.592609670944512,6.377550954930484
800,5.981800842564553,2.7158135222271085
805,6.785528347827494,2.066478952765465
810,8.07104324689135,0.40791005128994584
815,6.070268207695335,6.74615727039054
820,3.1900916364975274,7.600027127191424
825,7.887198901735246,6.782849763985723
830,6.719450119417161,1.9331370200961828
835,6.2905568280257285,7.089211314450949
840,7.85765660693869,2.917472163680941
845,1.5834620455279946,9.586598032619804
850,4.792889568489045,6.56251703388989
855,3.193566238041967,0.8262403449043632
860,5.657149001490325,6.720854851882905
865,6.383969909511507,2.1159773226827383
870,2.0874860929325223,6.446518995799124
875,8.816705038771033,6.530283584725112
880,1.0548033588565886,7.812313386239111
885,4.162847772240639,6.5361862373538315
890,7.069692411459982,5.776708226185292
895,5.347655315417796,8.730972590856254
900,0.0762640661559999,5.230720085091889
905,9.774403283372521,2.473885982763022
910,4.489623969420791,8.051482771988958
915,8.926130225881934,9.553222882095724
920,7.060223363805562,6.03495730785653
925,0.3072793805040419,9.744796871673316
930,7.3943653376773,1.1272031511180103
935,4.850790328346193,9.675927222706378
940,7.871269469615072,1.2334355851635337
945,9.789127022959292,8.236583741381764
950,7.540765332523733,1.8256354494951665
955,6.9489895878359675,8.313515530899167
960,3.3438983000814915,1.200226794462651
965,8.790767474565655,7.389794629998505
970,8.330050986260176,0.5904011079110205
975,6.528558328282088,8.52884145686403
980,5.114592337049544,5.7161205797456205
985,2.599352963734418,7.57766165304929
990,3.3041916554793715,5.696214898489416
995,1.6994534828700125,1.2323748017661273
1000,8.833099177572876,9.469789217691869
1005,2.1502136322669685,9.196245216298848
1010,7.482376366388053,8.395486592780799
1015,0.8633985370397568,8.371136677451432
1020,1.6081043309532106,4.023605410475284
1025,5.771766449324787,3.721318799071014
1030,6.869814493693411,3.7343372497707605
1035,1.020550869870931,0.7832550629973412
1040,1.9834746047854424,9.788893435616046
1045,2.9406710481271148,0.2910979534499347
1050,7.27064420003444,7.335875588469207
1055,6.752437767572701,6.335883105639368
1060,5.509425359778106,5.114014404825866
1065,6.632034443318844,5.059618062805384
1070,4.77690753294155,6.445452345069498
1075,0.2984923915937543,3.0416281800717115
1080,8.947811732068658,8.839628321584314
1085,9.892335350159556,0.11317768832668662
1090,1.3310095970518887,5.64585744868964
1095,3.2739226799458265,7.683869309257716
1100,1.048104886431247,7.0785728632472456
1105,6.585328669752926,3.745126430876553
1110,6.274693254381418,1.4670797600410879
1115,1.3752848282456398,6.605738399084657
1120,0.8314557163976133,2.8863683831878006
1125,1.1651201150380075,5.898173612076789
1130,3.6463373247534037,3.3340779482387006
1135,3.8419627072289586,9.615380719769746
1140,5.383362404536456,3.558394587598741
1145,8.524559568613768,7.264983078930527
1150,7.808174272067845,1.5901058772578835
1155,9.23192890593782,1.0996024264022708
1160,7.396438871510327,7.265016590245068
1165,0.24896720191463828,9.14020498516038
1170,7.283652455080301,6.370185648556799
1175,4.666538864839822,7.717549803201109
1180,6.686253105290234,5.1886773854494095
1185,2.2728283517062664,9.950808584690094
1190,2.000599217135459,3.192062354646623
1195,2.0596207631751895,3.280315166339278
1200,2.2460921853780746,5.221621103119105
1205,5.301808512303978,0.47915422823280096
1210,0.09999720146879554,2.1415582578629255
1215,9.802268003113568,5.086169170681387
1220,4.350748073775321,5.214964018668979
1225,4.829823765903711,1.1405812064185739
1230,3.4962315228767693,4.884053480345756
1235,0.0804558047093451,1.204914771951735
1240,3.178920350037515,5.240902143996209
1245,2.204575822688639,7.445589387789369
1250,3.442428056150675,8.210581559687853
1255,5.346486626658589,7.391311824321747
1260,4.8939571413211524,9.977496762294322
1265,4.174762833863497,1.722411229275167
1270,3.4877286897972226,3.730385391972959
1275,8.559893011115491,5.581312391441315
1280,1.5221535600721836,4.353236935567111
1285,8.2529058563523,0.41946401353925467
1290,2.4573433282785118,4.79072586633265
1295,6.084916703402996,2.0632696407847106
1300,0.1040437282063067,4.107504447456449
1305,5.74458978138864,4.037987974006683
1310,5.518771444913,2.3026727722026408
1315,6.517659721430391,3.66745536448434
1320,5.915773555170745,0.718098827637732
1325,8.585034359712154,5.942750717513263
1330,9.026266145519912,3.73391374014318
1335,3.360389336012304,7.065535513684154
1340,0.6217860779725015,0.16834090929478407
1345,4.700240620877594,4.017524761147797
1350,6.576032128650695,5.082365463022143
1355,4.684284937102348,6.497784957755357
1360,3.92083807149902,2.8352388530038297
1365,0.3765136539004743,7.891012141481042
1370,3.5746682970784605,0.8373392396606505
1375,6.596629719715565,5.613881542813033
1380,9.730094172991812,4.743033403065056
1385,6.972825464326888,1.0482461494393647
1390,9.634155316744,3.0074364715255797
1395,5.256352627184242,2.7756744856014848
1400,5.040584686212242,9.820969607681036
1405,1.5251502441242337,0.5427720164880157
1410,6.294574567582458,0.9878552216105163
1415,2.739424945320934,1.8414231529459357
1420,8.997384665999562,2.6364004937931895
1425,4.260867421980947,4.107838531490415
1430,5.14162631239742,4.206310999579728
1435,9.881987306289375,1.7595377704128623
1440,6.340929539874196,4.924100560601801
1445,1.6669349186122417,5.022952563595027
1450,3.132511710282415,9.938765515107661
1455,4.895595994312316,8.18998476723209
1460,4.339651369955391,5.2340780897066
1465,1.4728933828882873,5.633147556800395
1470,4.9667052971199155,9.045765835326165
1475,5.61376822181046,7.652822211384773
1480,0.4552403977140784,8.814749382436275
1485,9.11684028338641,8.712789642158896
1490,3.7251500855199993,6.458106003701687
1495,8.35550676099956,9.777737769763917
1500,3.8590529933571815,9.518071569036692
1505,0.1482588518410921,3.9947013463824987
1510,2.649834139738232,4.986650089267641
1515,8.62696117023006,3.6860483326017857
1520,9.386434205807745,5.84981112042442
1525,3.7904993793927133,3.166713893879205
1530,5.85938201053068,5.4024847177788615
1535,6.420120969414711,3.778138847555965
1540,0.47967175021767616,7.934309972915798
1545,4.93228773586452,0.6679093721322715
1550,3.1829015840776265,6.623250227421522
1555,7.712203084956855,0.934089170768857
1560,1.9701468595303595,0.47945335507392883
1565,4.685759139247239,2.742961433250457
1570,6.135362407658249,9.382610903121531
1575,7.744644416961819,7.690159850753844
1580,5.075548239983618,3.9397605787962675
1585,3.587857249658555,9.101191386580467
1590,3.9054628810845315,5.684374887496233
1595,0.025558059569448233,1.0076478868722916
1600,5.914307497441769,5.225982121191919
1605,3.343353767413646,2.0972771989181638
1610,2.858320795930922,5.2999269822612405
1615,6.815176955424249,6.502350198570639
1620,7.041829265654087,5.056357036810368
1625,7.115208429750055,7.966427074279636
1630,4.501433866098523,1.4018816244788468
1635,6.142295494209975,5.566926705650985
1640,2.2479398269206285,1.6158781410194933
1645,2.6481798477470875,6.820627481210977
1650,4.814471856225282,6.4663050370290875
1655,7.217826349660754,7.133557989727706
1660,8.700119187124074,4.833223717287183
1665,5.376110407523811,0.1872231950983405
1670,4.400847258511931,6.247458034195006
1675,1.9410169404000044,6.469733810517937
1680,9.703890373930335,1.778938602656126
1685,5.6891170353628695,4.726416748017073
1690,8.735857442952693,7.942468379624188
1695,3.015164795797318,5.100240670144558
1700,5.590288643725216,2.8887630510143936
1705,3.7416411051526666,1.9809090113267303
1710,6.584236873313785,3.084648021031171
1715,6.504095832351595,9.029438670258969
1720,1.66273461189121,9.119995688088238
1725,1.768344750162214,5.698459951672703
1730,2.544391746632755,4.404040491208434
1735,4.670386863872409,5.955643041525036
1740,9.046672875992954,2.3927759961225092
1745,3.4236722555942833,8.427844513207674
1750,2.9926304146647453,8.062010062858462
1755,8.34440522827208,9.384344117715955
1760,1.3663793029263616,6.465471801348031
1765,2.5133821880444884,6.129623218439519
1770,7.526418576017022,2.6369732012972236
1775,4.860923341475427,1.6678174887783825
1780,1.5125326695851982,9.953519604168832
1785,1.3122885837219656,2.7115896344184875
1790,8.468455951660872,4.605184509418905
1795,2.328532945830375,3.963597791735083
1800,2.012991029769182,4.388803415931761
1805,9.408162334002554,9.459047885611653
1810,6.976034711115062,0.11995683657005429
1815,4.330757160205394,3.4466796508058906
1820,4.386013492476195,0.28174898819997907
1825,9.847531230188906,8.91782540595159
1830,8.733556948136538,7.828101892955601
1835,2.395989855285734,0.8627753984183073
1840,5.716073904186487,8.678461336530745
1845,3.778587921988219,9.354542498476803
1850,0.8830177248455584,0.7835095073096454
1855,4.696663024369627,0.910087872762233
1860,9.208494394551963,7.233996081631631
1865,9.510938744060695,1.7722374526783824
1870,4.585050940513611,7.333257384598255
1875,9.243785138241947,7.270109178498387
1880,1.5455594519153237,5.745327470358461
1885,7.089033653028309,4.956359970383346
1890,5.118612437509,9.014726988971233
1895,4.418982602655888,6.064022283535451
1900,5.0521623669192195,9.813745077699423
1905,2.2239308222196996,8.10092304367572
1910,9.678576963488013,5.535200389567763
1915,0.9796494478359818,3.9679132448509336
1920,1.425546333193779,2.425294911954552
1925,7.324014191981405,0.8289960050024092
1930,6.314284880645573,5.966318310238421
1935,2.08015120588243,5.450061981100589
1940,3.742116333451122,0.9390659537166357
1945,1.6661857278086245,0.17078600358217955
1950,9.006164011079818,8.992857292760164
1955,2.07270277896896,1.4758625719696283
1960,9.78667984250933,1.5335345128551126
1965,1.8471096665598452,3.2096923887729645
1970,1.151783298701048,6.636331230401993
1975,1.00197164574638,5.940138620790094
1980,0.17035529483109713,1.9284878997132182
1985,9.202826677355915,5.7211428810842335
1990,4.512372554745525,8.867780319415033
1995,4.8854784038849175,6.318785841576755
2000,6.865936955437064,2.918802439235151
2005,6.071075571235269,1.1927646724507213
2010,4.734324591699988,7.807980997022241
2015,8.142589658964425,2.281412675511092
2020,4.82845833292231,5.573055441491306
2025,1.9329547719098628,0.47282238490879536
2030,3.6244247970171273,8.425657313782722
2035,4.531638433691114,6.257926686666906
2040,9.055825474206358,7.545497035607696
2045,7.336987238377333,6.086265549529344
2050,4.773015731479973,7.948798006400466
2055,7.47367407893762,1.2362626567482948
2060,9.200624821241945,7.014548066072166
2065,3.3412060234695673,1.3220175728201866
2070,4.215519975405186,3.9006144367158413
2075,9.054409833624959,9.38540918752551
2080,0.8198404498398304,1.8119494384154677
2085,7.495426854584366,2.963653530459851
2090,5.085171617101878,5.9623718820512295
2095,2.963049376849085,3.65887516643852
2100,8.121671564877033,4.230966842733324
2105,6.389653307851404,5.975162535905838
2110,1.6682092775590718,7.321364094968885
2115,3.8509380142204463,3.0307198967784643
2120,4.592782186809927,7.988686244934797
